Ratings,RAM,ROM,Mobile_Size,Primary_Cam,Selfi_Cam,Battery_Power,Price
3.7,6,32,4.54,64,8,2800,899
4.1,6,32,44,48,15,3000,935
4.1,6,32,44,48,15,3000,970
4.1,6,32,44,48,15,3000,940
4.4,4,64,6.35,38,2,5000,12900
4,6,32,4.54,64,8,2500,1699
3.4,6,64,4.54,20,8,3500,1299
4.5,8,256,6.67,48,8,3800,42990
4.6,6,128,6.67,48,8,3800,42990
4,3,32,5.4,38,8,3800,7999
4.5,8,128,6.7,64,1,4700,77999
3.7,6,32,2,64,16,1550,1699
3.8,6,32,4.54,48,16,3000,1349
4.2,4,3,4.77,48,8,1750,1299
4.7,8,64,5.8,35,12,5000,140300
4.2,12,24,4.77,48,8,3000,1149
4.1,10,25,6.41,48,2,3000,39999
4.1,3,32,5.7,38,1,2900,9990
4.2,4,64,4.5,64,8,3500,1098
4.2,4,64,4.5,64,16,3000,1099
3.5,6,64,4.5,48,16,3000,1199
3.8,12,24,2,64,8,1550,1690
3.7,6,32,4.77,48,8,1750,927
4.5,6,64,5.5,35,12,3500,36999
4.5,6,32,4.5,64,8,3000,649
4.5,6,32,4.5,64,8,3000,649
4.1,6,32,4.5,64,8,3000,1599
3.6,8,32,4.5,48,8,3000,649
4.2,6,24,4.54,48,8,1750,1799
4.2,6,32,4.54,48,5,1750,1549
3.9,12,12,4.54,48,5,3000,1579
3.9,6,32,4.54,48,8,3000,1330
4.1,8,128,6.4,35,20,3000,31590
3.6,6,32,4.54,38,20,1200,945
3.6,6,32,4.54,38,0,1200,945
3.8,3,32,6.2,48,8,3000,15899
4.1,3,32,5.4,38,5,3000,7490
3.9,6,32,4.77,48,8,1750,1451
4.3,1,16,4.5,48,8,3000,869
4.3,1,16,4.5,48,8,3000,798
4.5,6,32,4.5,64,8,3000,649
3.9,6,32,4.5,48,11,3000,900
4.5,6,32,4.5,64,8,3000,649
4.3,4,4,4.77,64,11,3500,1349
4.1,4,64,5.9,38,2,3000,14999
3.4,4,64,5.5,48,5,3000,13999
4.5,8,128,6.44,48,13,4100,29499
4.2,4,4,4.5,64,13,3500,1599
4.4,2,16,6.22,38,5,4030,9350
4.4,6,64,6.4,48,5,3800,18999
4,6,32,4.54,64,8,2500,1695
3.8,4,64,4.54,48,8,1200,3580
4.7,8,64,6.5,35,12,3500,117100
4.6,4,64,6.2,35,8,3500,53990
4.4,6,128,6.39,48,12,3800,31999
3.6,6,32,4.5,48,8,3000,898
3.8,6,32,4.54,48,8,2800,1299
4.4,3,32,6.2,48,1,3800,9790
3.7,10,32,4.5,64,8,3500,799
3.5,6,32,4.5,64,14,1050,799
3.8,6,32,4.4,48,14,3000,930
3.8,6,32,4.4,48,8,3000,930
4.5,6,64,5.99,35,5,3800,13999
4.7,12,64,4.7,35,7,3500,56999
4.7,8,64,6.1,35,12,3500,68300
4.1,6,32,4.54,48,20,3000,3149
3.6,1,32,4.5,48,8,3500,799
4.2,8,32,4.58,64,8,1750,1840
4.4,6,128,6.3,26,5,3000,27999
3.6,6,35,4.5,64,8,1050,849
4.5,4,64,6.3,48,5,3260,23990
4.2,8,128,6.59,35,5,3800,29990
4.3,3,32,5.65,38,2,3000,13999
4.5,8,128,6.7,64,1,4700,77999
4.1,2,32,5.5,38,5,4900,15999
3.8,6,64,4.5,64,8,3000,749
3.8,6,64,4.5,64,8,3000,749
4.4,3,32,6.3,48,5,3800,9999
3.9,6,32,4.5,48,8,3000,999
4.7,8,64,5.8,35,12,3500,106600
4.3,3,64,5.7,35,20,3500,42998
4.4,4,128,6.53,48,8,5000,16299
4.5,6,64,4.54,48,8,2800,649
4.2,12,24,4.77,48,8,5000,3000
4.3,2,32,6.1,8,5,3800,8490
4.4,6,64,6.41,48,13,3600,18989
4.5,6,32,4.54,48,13,1900,1570
3.9,6,64,4.54,48,8,3600,1799
4,4,32,5.7,38,2,3030,9999
4.2,4,4,4.5,64,8,3500,1149
3.9,5,32,4.54,48,8,3000,999
3.9,5,32,4.54,48,8,3000,1049
3.9,1,16,4.58,48,8,3000,1399
4.5,8,256,6.5,48,8,3800,38990
4,6,32,4.77,48,8,3000,2100
3.8,12,56,4.57,48,13,3000,1799
4.5,6,64,6.3,48,5,4045,15999
3.9,6,32,4.54,48,13,3000,1330
4.2,6,32,4.54,48,13,1750,1549
4,6,32,4.5,48,13,3000,847
3.9,12,12,4.54,48,8,3000,1579
3.6,6,32,4.54,38,20,1200,945
3.6,6,32,4.54,38,0,1200,945
3.8,3,32,6.2,48,8,3000,15899
4.1,8,128,6.4,35,20,3000,31590
3.9,6,32,4.77,48,8,1750,1451
4.1,4,64,5.9,38,2,3000,14999
4.1,3,32,5.4,38,5,3000,7490
4.3,1,16,4.5,48,8,3000,869
4.3,1,16,4.5,48,8,3000,798
4.3,4,64,6.2,38,2,4230,15656
3.9,6,32,4.5,64,8,3000,1089
4.5,6,32,4.5,64,15,3000,649
3.9,6,32,4.5,48,15,3000,900
4.5,6,32,4.5,64,8,3000,649
4.2,4,4,4.5,64,13,3500,1575
4.5,6,128,6.39,48,13,3800,24999
4.3,4,4,4.77,64,8,3500,1349
3.4,4,64,5.5,48,5,3000,13999
4.1,6,32,4.54,64,20,3500,949
4,6,32,4.54,64,8,2500,1695
3.8,6,32,4.54,48,8,2800,1299
4.7,12,64,5.8,35,12,3500,121300
3.7,10,32,4.5,64,8,3500,799
4.4,3,32,6.2,48,1,3800,9790
3.5,6,32,4.5,64,8,1050,799
4.5,6,64,5.99,35,5,3800,13999
3.8,6,32,4.4,48,8,3800,930
4.5,6,128,6.39,48,13,3800,24999
3.8,6,32,4.54,64,23,4100,1149
4.7,12,64,4.7,35,7,3500,56999
3.9,3,16,5,38,5,2500,8798
3.9,3,16,5,38,5,4200,8990
4.7,8,64,6.1,35,12,3500,68300
4.1,6,32,4.54,48,20,3000,3149
4.1,6,32,4.54,64,8,1200,1599
4.6,12,64,5.5,35,12,3500,67820
4.2,8,64,4.58,64,8,1750,1840
3.6,1,32,4.5,48,8,3500,799
3.6,6,35,4.5,64,8,1050,849
4.4,6,128,6.3,26,5,3000,27999
4.3,3,32,5.65,38,2,3000,13999
4.5,4,64,6.3,48,5,3260,23990
4.2,8,128,6.59,35,5,3800,29990
3.7,12,64,4.5,48,8,1050,699
3.9,4,24,4.77,48,8,1750,984
4.5,6,32,4.5,25,8,1080,649
4.4,6,128,6.4,48,12,3800,25250
4.5,6,32,4.5,25,8,1080,649
4,6,32,3.7,16,8,3000,975
3.9,6,32,4.54,25,8,3000,1329
4.5,6,128,6.39,48,13,3000,24999
4.1,6,64,4.5,48,8,3000,985
4.6,8,256,6.55,48,1,3000,38050
4.6,8,128,6.55,48,1,3000,37319
3.5,6,64,4.5,48,8,3000,599
4.5,6,64,5.5,35,12,3500,36999
4.6,12,25,6.5,64,13,3800,35999
4.5,8,128,6.5,64,13,3800,31999
4.5,8,128,6.5,64,13,3800,31999
4.4,2,32,6.22,38,5,4030,8995
3.9,6,32,4.77,25,8,3000,899
4.5,6,128,6.4,64,8,6000,19900
4.4,4,128,6.5,48,8,5000,16990
4.5,6,64,4.7,35,5,3500,28999
4.4,8,128,6.44,48,13,4440,34990
4,2,32,6.2,38,2,3800,9989
4.1,6,32,4.54,48,5,3000,1699
3.8,6,32,4.7,64,5,5000,3999
3.8,6,32,4.7,64,8,3400,3999
4.5,8,128,6.44,48,8,4700,24990
4.7,8,64,6.1,35,12,3500,68300
4.1,6,32,4.4,48,8,2500,985
4,6,32,3.7,16,23,3000,980
3,8,64,4.54,48,23,3800,899
4.1,6,32,3.7,64,8,3500,980
4.1,6,32,3.7,64,23,3500,930
4.1,6,32,4.4,48,8,2500,935
4.5,4,128,6.38,48,8,4700,16990
4.5,8,128,6.7,35,12,4700,39999
4.3,6,64,6.5,48,8,5000,18499
4.4,8,128,6.44,48,13,4440,34990
4.4,8,256,6.44,48,13,4440,37990
4.5,8,64,4.5,16,8,3000,799
3.9,6,32,4.77,48,12,2800,982
3.9,6,32,4.77,48,8,2800,1099
4.4,6,64,6.53,64,8,4700,16899
4.5,4,64,5.6,35,20,3000,30999
3.9,6,32,4.5,64,8,2000,749
4.3,6,64,6.5,48,8,5000,18499
4.1,6,32,4.7,48,12,3000,1499
3.7,6,32,4.5,48,8,3000,649
4.3,6,128,5.99,35,12,3000,16999
3.9,6,32,4.5,48,8,3000,849
4,6,32,4.5,48,12,4700,1049
4.4,8,256,6.44,48,8,4700,31990
3.6,6,64,4.5,48,8,3500,629
4.5,8,128,6.7,35,12,4700,39999
4.1,6,32,44,48,8,3000,970
4.6,8,256,6.41,48,5,3000,35999
4,8,64,4.77,48,8,3500,1045
3.9,6,32,4.54,48,12,1750,1110
3.9,6,32,4.54,48,8,3000,1349
4.5,6,128,6.39,48,13,3800,24999
4.4,8,128,6.7,64,12,4700,32999
3.6,6,64,4.5,48,8,3000,649
4.4,8,128,6.4,64,13,4025,29990
4.4,6,128,6.26,48,2,3750,22999
3.5,6,64,4.5,48,8,3000,599
4.4,12,25,6.44,48,13,4440,44990
4.2,4,4,4.54,48,8,1020,2135
4.5,8,256,6.6,48,13,4065,41990
3.4,6,32,4.5,48,8,1050,629
3.4,6,32,4.5,48,8,1050,629
4.5,8,128,6.3,48,2,3500,15490
3.7,8,64,4.5,64,8,1050,799
4.4,8,256,6.44,48,8,4700,31990
4.2,6,32,4.54,64,8,2500,1619
4.2,6,32,4.54,48,15,2500,1259
4.2,4,4,4.5,64,15,3500,1349
3.6,8,64,4.54,64,15,2500,1079
3.9,4,64,4.54,64,8,1750,1399
4.1,6,32,3.7,64,15,3500,945
4.1,6,32,4.4,48,8,2500,970
4.1,6,32,4.54,48,20,3500,3399
4.3,8,128,6.52,48,8,5000,15990
3.7,6,64,4.54,48,8,1500,749
4.6,8,256,6.67,48,1,4085,46969
4.3,6,32,4.58,64,8,1750,1799
4.4,6,128,6.5,48,5,4700,17990
4,6,32,4.77,48,8,3000,980
4.1,8,64,4.77,48,18,3000,1275
4.1,8,64,4.77,48,18,3000,1275
4.1,8,64,4.77,48,18,3000,1275
4,6,32,4.5,48,8,3000,949
4.5,6,128,6.4,64,8,6000,19900
4.5,4,64,5.6,35,20,3000,30999
3.8,12,64,4.54,48,8,2800,1460
4.5,8,256,6.5,48,8,3800,38990
4.5,8,128,6.7,48,12,4700,42999
3.9,6,32,4.4,64,22,3500,890
4.3,4,128,6.4,48,8,3800,18570
4.5,6,64,6.3,48,2,3500,18990
3.7,6,32,4.5,64,8,1050,699
4.5,8,128,6.44,48,13,4100,29499
4.1,6,32,4.5,48,8,3000,985
4.5,4,64,6.26,35,5,3000,15990
4.1,6,32,4.5,48,8,3000,985
4.3,4,4,4.5,64,8,3500,3000
3.4,6,64,4.5,48,8,3000,599
4.4,6,128,6.53,64,8,4550,17999
4.5,8,128,6.7,48,12,4700,47999
3.7,4,64,5.99,38,13,3800,24999
4.5,6,128,6.18,35,5,3800,18999
4.4,8,128,6.7,64,5,4700,29999
4.5,8,256,6.18,35,5,3800,22999
3.9,6,32,4.54,64,8,4100,1099
4.4,4,128,6.53,48,2,3500,16490
3.8,6,32,4.5,64,8,1050,1299
3.8,6,32,4.7,64,22,2500,3999
4.5,2,16,5.5,8,8,4200,5498
4.1,6,32,3.7,64,22,3500,990
4.5,6,64,6.26,35,5,3000,16675
3.8,6,32,4.77,48,8,3000,995
3.8,6,32,4.77,48,5,4700,959
3,8,64,4.54,48,8,3800,699
4.4,4,64,6.35,38,2,5000,12900
3.4,6,64,4.54,20,8,3500,1199
3.4,6,64,4.54,20,5,3500,1299
4,6,32,4.54,64,8,2500,1699
4.4,4,128,6.53,48,2,3500,16490
4.2,12,24,4.77,48,8,3500,999
4.6,8,128,6.67,26,20,4780,51987
4.6,8,256,6.67,26,20,4780,53990
3.5,6,64,4.5,48,5,3000,1199
3.5,6,64,4.5,48,8,3000,1099
4,2,32,6.2,38,2,3800,9499
4.1,6,32,4.7,48,8,3800,1399
3.6,6,64,4.5,48,5,3000,1099
4.3,4,128,6.59,48,8,3800,16899
4.4,6,128,6.38,48,8,4700,19990
3.9,8,8,4.58,48,8,1900,1680
4.4,8,128,6.7,48,8,3000,40900
3.9,6,32,4.58,48,8,3000,1499
3.9,6,32,4.58,48,8,3000,1499
3.6,6,32,4.5,48,8,3000,639
3.7,6,32,4.5,48,8,3000,645
3.7,6,64,4.54,48,8,1500,749
4.3,4,4,4.77,64,8,3500,1349
4.4,6,128,6.26,48,2,3750,22999
4.5,8,256,6.39,48,13,3800,29999
3.4,6,64,4.5,48,8,3000,1099
3.8,4,64,4.54,48,8,1200,4277
3.8,6,32,4.54,48,8,2800,1390
3.8,6,32,4.54,25,11,3800,1280
3.9,6,32,4.54,48,13,3000,1350
4.3,4,4,4.5,64,14,3500,1269
4.1,8,64,4.77,48,8,3000,1275
4.5,8,256,6.18,35,5,3800,22999
3.5,6,64,4.5,48,20,3000,1199
2.8,1,8,5,8,8,2000,4999
2.8,1,8,5,8,8,2000,4999
4.6,8,256,6.41,48,5,3000,36999
4.6,6,128,6.41,48,5,3000,32999
4.5,8,128,6.7,48,12,4700,42999
3.9,6,32,4.4,64,8,3500,890
4.5,8,256,6.5,48,8,3800,38990
3.4,6,64,4.54,20,8,3500,639
4.3,4,128,6.4,48,8,3800,18570
4.5,6,64,6.3,48,2,3350,18990
3.7,6,32,4.5,64,8,1050,699
4.2,6,128,6.7,64,5,4700,25900
4.5,8,128,6.44,48,13,4100,29499
4.1,6,32,4.5,48,8,3000,985
4.1,6,32,4.5,48,8,3000,985
4.3,4,128,6,48,13,3000,24999
4.3,4,4,4.5,64,8,3500,3000
3.4,6,64,4.5,48,8,4700,599
4.4,6,64,6.4,48,5,3800,18999
4.7,8,64,5.8,35,12,3500,140300
4.5,8,128,6.7,48,12,4700,47999
4.4,8,128,6.7,64,5,4700,29999
3.7,4,64,5.99,38,13,3800,24999
4.5,6,128,6.18,35,5,3800,18999
4.5,8,256,6.18,35,5,3800,22999
4.4,4,128,6.53,48,2,4020,16490
3.9,6,32,4.54,64,11,4100,1099
3.8,6,32,4.5,64,8,3500,1299
3.8,6,32,4.7,64,12,2000,3999
4.5,2,16,5.5,8,8,4200,5498
4.1,6,32,3.7,64,8,3500,990
4.5,8,256,6.67,48,8,3800,42990
4.6,6,128,6.67,48,8,3800,42990
4.5,8,128,6.7,48,12,4700,47999
4.1,8,64,4.54,64,8,2500,1199
4.5,8,64,4.7,35,7,3500,38999
4.5,8,128,6.7,64,1,4700,77999
3.7,6,32,2,64,8,1550,1699
3.8,6,32,4.54,25,15,2500,1240
4,6,32,4.54,48,11,1900,1399
4.2,4,3,4.77,48,8,1750,1299
3.8,6,32,4.54,48,8,3000,1349
4.7,8,64,6.5,35,12,3500,117100
4.7,8,64,5.8,35,12,3500,140300
4.1,10,25,6.41,48,2,3000,39999
4.2,12,24,4.77,48,8,3000,1149
4.1,3,32,5.7,38,1,2900,9990
4.2,4,64,4.5,64,22,3500,1098
4.2,4,64,4.5,64,8,3000,1099
4.2,6,32,4.54,48,22,1750,1390
3.5,6,64,4.5,48,22,3000,1199
3.5,8,25,4.5,48,22,3500,697
3.6,6,64,4.54,48,14,3000,699
3.8,12,24,2,64,14,1550,1690
3.7,6,32,4.77,48,12,1750,927
4.5,6,32,4.5,64,21,3000,649
4.5,6,32,4.5,64,8,3000,649
4.5,6,32,4.5,64,12,3000,649
3.9,6,32,4.5,48,8,3000,900
4.3,1,16,4.5,48,8,3000,869
4.3,1,16,4.5,48,8,3000,798
4.5,6,128,6.39,48,13,4030,24999
4.2,4,4,4.5,64,13,3500,1575
4.1,4,64,5.9,38,2,3000,14999
4.3,4,4,4.77,64,8,3500,1349
4.5,8,128,6.44,48,13,4100,29499
3.4,4,64,5.5,48,5,3000,13999
4.1,6,32,4.54,64,20,3500,949
4.4,6,64,6.4,48,5,3800,18999
4.2,4,4,4.5,64,13,3500,1599
4.4,2,16,6.22,38,5,4030,9350
4.1,4,40,4.77,48,8,3000,1080
3.8,4,64,4.54,48,13,1200,3580
4,6,32,4.54,64,11,2500,1695
3.5,6,32,4.52,48,8,3500,2599
4.7,8,64,6.5,35,12,3500,117100
4.4,6,128,6.39,48,12,3800,31999
4.6,4,64,6.2,35,8,3500,53990
4.1,8,64,4.54,64,8,2500,1390
3.6,6,32,4.5,48,8,3000,898
4.3,4,64,6.2,38,2,4230,15656
3.9,6,32,4.5,64,8,3000,1089
4.3,4,4,4.77,64,8,3500,1349
4.1,4,64,5.9,38,2,3000,14999
4.2,4,4,4.5,64,13,3500,1575
4.5,6,128,6.39,48,13,3800,24999
3.4,4,64,5.5,48,5,3000,13999
4.1,6,32,4.54,64,20,3500,949
4.2,4,4,4.5,64,13,3500,1599
4.4,2,16,6.22,38,5,4030,9350
4.4,6,64,6.4,48,5,3800,18999
4,6,32,4.54,64,8,2500,1695
3.8,4,64,4.54,48,15,1200,3580
4.1,4,40,4.77,48,15,3000,1080
3.5,6,32,4.52,48,8,3500,2599
4.7,8,64,6.5,35,12,3500,117100
4.6,4,64,6.2,35,8,3500,53990
4.4,6,128,6.39,48,12,3800,31999
3.6,6,32,4.5,48,8,3000,898
3.8,6,32,4.54,48,12,2800,1299
4.1,8,64,4.54,64,8,2500,1390
4.4,3,32,6.2,48,1,3800,9790
3.7,10,32,4.5,64,8,3500,799
3.5,6,32,4.5,64,15,1050,799
